operation,duration_seconds,start_memory_mb,end_memory_mb,memory_delta_mb,timestamp,record_count,data_source,aggregation_type,analysis_type
Spark Session Initialization,0.020976781845092773,193.9296875,193.9296875,0.0,2026-02-04T09:36:10.529828,,,,
Load and Parse Games,1.267315149307251,194.0546875,194.0546875,0.0,2026-02-04T09:36:25.963393,12070.0,rddGames,,
Load and Parse Reviews,1.2361197471618652,194.0546875,194.0546875,0.0,2026-02-04T09:36:27.200028,28813.0,rddReviews,,
Load and Parse Genres,0.18570160865783691,194.0546875,194.0546875,0.0,2026-02-04T09:36:27.386357,33.0,rddGenres,,
Load and Parse Genres by App,1.3825175762176514,194.0546875,194.0546875,0.0,2026-02-04T09:36:28.769305,587484.0,rddGenresByApp,,
RDD repartitioning,0.04379129409790039,194.0546875,194.1796875,0.125,2026-02-04T09:36:40.736325,,,,
Compute Average Hours by Genre and Sentiment,3.7590415477752686,194.1796875,194.1796875,0.0,2026-02-04T09:36:49.048163,54.0,,average_by_genre_sentiment,
Generate Genre Comparison Analysis,0.00234222412109375,194.1796875,194.1796875,0.0,2026-02-04T09:36:56.414653,29.0,,,genre_comparison
Sentiment by Playtime Bracket Analysis,0.7746143341064453,194.1796875,194.1796875,0.0,2026-02-04T09:37:01.030055,5.0,,,playtime_brackets
Sentiment by Playtime Bracket Analysis,0.7505664825439453,203.5546875,203.5546875,0.0,2026-02-04T09:37:18.353928,5.0,,,playtime_brackets
